stadium,date,time,home,guest
Stadio Olimpico,2021-03-26,08:34:17,Cameroon,Liberia
Stadio Olimpico,2021-01-22,00:05:37,Lithuania,Panama
Stadio Olimpico,2020-11-29,10:38:26,Mali,Costa Rica
Stadio Olimpico,2020-12-19,00:34:29,Malaysia,France
Stadio Olimpico,2020-12-19,11:08:01,People's Republic of China,Costa Rica
Stadio Olimpico,2020-12-21,20:06:23,Mexico,Pakistan
Klabat Stadium,2021-04-14,07:17:59,Mongolia,Albania
Klabat Stadium,2021-03-23,02:35:28,Afghanistan,Fiji
Klabat Stadium,2021-03-21,01:27:20,Moldova,Burkina Faso
Klabat Stadium,2021-02-14,19:17:14,Suriname,Qatar
Klabat Stadium,2021-02-07,08:04:51,Sweden,Algeria
Klabat Stadium,2021-01-09,05:15:18,Algeria,Nepal
Klabat Stadium,2021-02-19,22:54:04,India,Nicaragua
Klabat Stadium,2021-03-02,13:44:17,Zambia,United Kingdom
Klabat Stadium,2021-03-24,14:34:27,Malawi,Spain
Klabat Stadium,2021-02-09,23:48:11,Curaçao,Zambia
Sugar Ray Xulu Stadium,2021-02-11,06:17:21,Kenya,Sudan
Sugar Ray Xulu Stadium,2021-02-11,15:20:10,North Korea,Albania
Sugar Ray Xulu Stadium,2021-02-14,10:16:55,Benin,Ukraine
Sugar Ray Xulu Stadium,2021-03-28,21:17:36,Libya,Germany
Sugar Ray Xulu Stadium,2021-01-22,19:53:30,Kenya,Syria
NTCA Ground,2021-02-12,08:38:21,Oman,Vietnam
NTCA Ground,2021-04-07,03:44:59,Kyrgyzstan,Brazil
NTCA Ground,2020-11-29,08:08:34,Cuba,British Virgin Islands
NTCA Ground,2021-05-03,13:39:43,Netherlands,Guyana
NTCA Ground,2021-04-04,03:44:52,New Zealand,Croatia
NTCA Ground,2021-02-17,05:03:00,Dominican Republic,Philippines
NTCA Ground,2021-01-28,10:16:03,Mongolia,Mexico
NTCA Ground,2020-12-03,07:26:37,Guatemala,United Arab Emirates
NTCA Ground,2021-02-01,18:46:20,Dominican Republic,Slovenia
KRL Stadium,2021-03-13,13:14:24,Ghana,Italy
KRL Stadium,2021-01-29,04:58:00,Uzbekistan,Japan
KRL Stadium,2021-03-23,09:49:11,Cameroon,Peru
KRL Stadium,2020-12-02,16:31:33,Peru,Myanmar
KRL Stadium,2021-01-30,00:08:31,British Virgin Islands,Vietnam
Gjemselund Stadion,2020-12-11,06:03:22,Kyrgyzstan,Belarus
Gjemselund Stadion,2021-03-08,20:33:50,Malawi,North Korea
Gjemselund Stadion,2021-05-14,18:13:37,North Macedonia,São Tomé and Príncipe
Gjemselund Stadion,2020-12-21,18:20:31,Mali,Russia
Gjemselund Stadion,2021-03-27,19:35:07,Sierra Leone,Romania
Hidegkuti Nándor Stadium,2020-12-12,19:09:11,Bosnia and Herzegovina,Burkina Faso
Hidegkuti Nándor Stadium,2021-01-02,11:09:22,Singapore,People's Republic of China
Hidegkuti Nándor Stadium,2020-11-25,10:21:56,Pakistan,Norway
Hidegkuti Nándor Stadium,2021-04-24,02:28:21,Republic of Abkhazia,Algeria
Hidegkuti Nándor Stadium,2021-02-12,12:50:05,Curaçao,Somalia
Hidegkuti Nándor Stadium,2020-12-24,15:04:01,San Marino,Honduras
Hidegkuti Nándor Stadium,2021-04-01,10:29:10,Ireland,Armenia
Hidegkuti Nándor Stadium,2021-03-19,14:01:10,Tanzania,Slovakia
Estadio Román Suárez Puerta,2021-04-13,22:23:21,Belarus,Poland
Estadio Román Suárez Puerta,2021-02-28,04:10:12,Taiwan,Sierra Leone
Estadio Román Suárez Puerta,2021-03-31,22:19:37,Ukraine,Lebanon
Estadio Román Suárez Puerta,2021-04-10,16:28:20,Switzerland,Guatemala
Estadio Román Suárez Puerta,2021-05-09,09:26:47,Portugal,Lithuania
Estadio Román Suárez Puerta,2021-03-21,06:38:15,Indonesia,Nicaragua
Estadio Salto del Caballo,2021-05-17,08:14:25,Morocco,Ivory Coast
Estadio Salto del Caballo,2021-02-21,11:53:25,Costa Rica,Ireland
Estadio Salto del Caballo,2020-12-01,13:36:03,Colombia,San Marino
Estadio Salto del Caballo,2021-02-20,01:19:01,Austria,Oman
Estadio Salto del Caballo,2021-03-23,19:55:53,Brazil,Mongolia
Estadio Salto del Caballo,2020-12-11,22:18:48,Venezuela,Panama
Estadio Salto del Caballo,2021-01-28,12:40:57,British Virgin Islands,Ireland
Maryland SoccerPlex,2021-03-15,19:47:35,Somalia,Kenya
Maryland SoccerPlex,2021-04-20,06:29:33,Malawi,Rwanda
Maryland SoccerPlex,2021-04-08,18:22:20,Cyprus,Angola
Maryland SoccerPlex,2021-01-07,06:33:32,Libya,Hungary
Maryland SoccerPlex,2021-02-21,18:42:30,France,United Kingdom
Maryland SoccerPlex,2021-03-01,14:35:49,Cyprus,Romania
Maryland SoccerPlex,2021-03-02,21:51:55,Panama,Croatia
Dr. Mark & Cindy Lynn Stadium,2020-12-11,03:38:06,People's Republic of China,Myanmar
Dr. Mark & Cindy Lynn Stadium,2021-04-15,18:22:59,Tunisia,Mongolia
Dr. Mark & Cindy Lynn Stadium,2021-03-22,05:13:12,Suriname,Poland
Dr. Mark & Cindy Lynn Stadium,2021-03-06,05:06:28,Algeria,Argentina
Dr. Mark & Cindy Lynn Stadium,2020-12-22,19:50:19,Belgium,Sri Lanka
Dr. Mark & Cindy Lynn Stadium,2021-04-11,07:36:14,Costa Rica,Sri Lanka
Dr. Mark & Cindy Lynn Stadium,2020-12-23,15:20:09,Burkina Faso,Cameroon
Dr. Mark & Cindy Lynn Stadium,2021-03-25,05:12:50,South Africa,Grenada
Stadion Broodstraat,2021-04-06,08:44:14,Portugal,Japan
Stadion Broodstraat,2021-03-04,15:57:00,Albania,Sri Lanka
Stadion Broodstraat,2021-04-15,12:57:39,El Salvador,Indonesia
Stadion Broodstraat,2020-12-07,00:29:52,Mongolia,Solomon Islands
Stadion Broodstraat,2020-11-27,00:52:39,Liberia,São Tomé and Príncipe
Stadion Broodstraat,2021-02-10,20:34:01,Cuba,Ghana
Stadion Broodstraat,2020-12-02,16:47:39,Liberia,Malaysia
Stadion Broodstraat,2021-05-15,12:08:15,Ireland,Eritrea
Stadion Broodstraat,2021-02-03,05:42:29,Sudan,Argentina
Stadion Broodstraat,2021-01-13,07:19:50,Nepal,Syria
Stadio Guido Biondi,2021-04-30,22:11:17,Bulgaria,Nepal
Stadio Guido Biondi,2021-02-22,17:53:43,Serbia,The Gambia
Stadio Guido Biondi,2021-01-19,01:24:36,Argentina,Saint Vincent and the Grenadines
Stadio Guido Biondi,2021-03-01,06:33:12,Georgia,Saudi Arabia
Stadio Guido Biondi,2021-04-10,03:55:30,Ecuador,Cameroon
Stadio Ettore Mannucci,2020-12-28,19:04:47,Faroe Islands,Latvia
Stadio Ettore Mannucci,2021-03-11,14:45:13,Kosovo,Solomon Islands
Stadio Ettore Mannucci,2021-04-30,10:24:53,United Arab Emirates,Botswana
Stadio Ettore Mannucci,2021-03-11,07:45:56,Slovenia,Chile
Stadio Ettore Mannucci,2021-04-27,10:06:32,Lithuania,Myanmar
Stadio Ettore Mannucci,2021-01-09,01:53:15,Oman,Cambodia
Stadio Ettore Mannucci,2020-12-07,00:56:24,Japan,Austria
Stadio Ettore Mannucci,2020-11-28,04:39:00,Costa Rica,Chile
Stadio Ettore Mannucci,2021-02-04,14:38:49,Oman,Poland
Mytilene Municipal Stadium,2020-12-06,04:08:42,Libya,Greenland
Mytilene Municipal Stadium,2020-12-10,09:11:23,Hungary,Estonia
Mytilene Municipal Stadium,2020-11-28,13:40:03,Trinidad and Tobago,Cyprus
Mytilene Municipal Stadium,2021-05-15,04:01:05,Egypt,North Macedonia
Mytilene Municipal Stadium,2021-03-11,02:11:49,Morocco,Somalia
Mytilene Municipal Stadium,2021-02-14,05:22:52,Bhutan,Republic of Abkhazia
Mytilene Municipal Stadium,2020-11-22,07:50:30,Botswana,Greenland
Mytilene Municipal Stadium,2021-04-14,07:42:40,Azerbaijan,Croatia
Q28050140,2021-02-04,05:24:52,Thailand,Chile
Q28050140,2021-03-05,13:28:14,Tanzania,Tunisia
Q28050140,2021-01-25,03:08:53,Morocco,Turkmenistan
Q28050140,2020-11-30,08:14:26,Taiwan,Lebanon
Q28050140,2021-02-01,15:46:46,Bangladesh,Malta
Q28050140,2021-03-09,07:29:28,Croatia,Bahrain
Q28050140,2021-05-04,07:35:48,India,Portugal
Q28050140,2021-01-02,09:42:38,Lithuania,Antigua and Barbuda
Mumias Sports Complex,2020-12-19,02:58:26,Italy,Russia
Mumias Sports Complex,2021-03-15,08:33:48,Nicaragua,Ecuador
Mumias Sports Complex,2020-12-05,11:20:56,Azerbaijan,Portugal
Mumias Sports Complex,2021-03-19,12:51:30,Trinidad and Tobago,Gabon
"Clarence Park, St Albans",2021-02-03,16:20:00,Liberia,Ireland
"Clarence Park, St Albans",2021-02-09,05:48:02,Netherlands,Austria
"Clarence Park, St Albans",2020-12-18,02:35:57,Saint Kitts and Nevis,Argentina
"Clarence Park, St Albans",2021-04-06,10:50:56,Antigua and Barbuda,Rwanda
"Clarence Park, St Albans",2021-03-13,04:10:21,Denmark,Mauritius
"Clarence Park, St Albans",2021-03-28,06:30:01,Ukraine,Czech Republic
"Clarence Park, St Albans",2021-04-30,13:14:55,Grenada,Malawi
"Clarence Park, St Albans",2021-03-31,23:40:01,Tunisia,Argentina
"Clarence Park, St Albans",2021-02-09,07:06:44,Slovenia,Austria
"Clarence Park, St Albans",2021-02-10,17:57:27,Fiji,Taiwan
Kynoch Park,2020-12-03,22:43:02,Peru,Afghanistan
Kynoch Park,2020-11-30,08:54:55,Burundi,South Africa
Kynoch Park,2021-01-29,11:52:07,Australia,Kenya
Kynoch Park,2021-05-10,11:16:08,Nepal,Iceland
Kynoch Park,2021-03-27,02:30:39,Eritrea,Guatemala
Kynoch Park,2021-03-30,16:45:45,Honduras,Mexico
Kynoch Park,2021-03-05,03:51:17,Cambodia,Serbia
Kynoch Park,2020-11-26,22:57:36,People's Republic of China,Fiji
Kynoch Park,2021-03-16,19:58:42,Cameroon,Russia
Kynoch Park,2021-04-15,21:02:07,Guernsey,Afghanistan
Ademir Cunha Stadium,2021-02-11,09:39:05,El Salvador,Djibouti
Ademir Cunha Stadium,2021-04-05,23:55:31,Greece,Dominican Republic
Ademir Cunha Stadium,2021-01-26,20:48:33,Cuba,Georgia
Ademir Cunha Stadium,2020-12-13,11:25:18,São Tomé and Príncipe,Guernsey
Ademir Cunha Stadium,2020-12-12,12:18:02,South Africa,Sudan
Ademir Cunha Stadium,2021-03-10,04:24:46,Ivory Coast,Iceland
Ademir Cunha Stadium,2021-02-04,12:23:01,Montenegro,Costa Rica
Ademir Cunha Stadium,2021-03-26,22:54:27,Morocco,Guernsey
Kavarna Stadium,2021-05-14,04:18:48,Zimbabwe,The Gambia
Kavarna Stadium,2021-03-02,06:10:12,Syria,Cuba
Kavarna Stadium,2021-01-02,02:56:51,Kosovo,Luxembourg
Kavarna Stadium,2021-03-22,00:02:53,Poland,Argentina
Kavarna Stadium,2021-04-02,16:32:01,Egypt,Antigua and Barbuda
Kavarna Stadium,2020-12-01,15:51:37,Sri Lanka,Fiji
Tuah Pahoe Stadium,2021-04-02,19:53:31,Mali,Bolivia
Tuah Pahoe Stadium,2021-05-06,20:26:03,Cuba,Saint Lucia
Tuah Pahoe Stadium,2021-05-03,05:06:00,Spain,Ecuador
Tuah Pahoe Stadium,2021-01-09,19:55:50,Burundi,New Zealand
Coliseo La Tortuga,2020-12-05,13:41:25,Costa Rica,Bangladesh
Coliseo La Tortuga,2021-04-24,21:15:39,Kosovo,Estonia
Coliseo La Tortuga,2021-03-08,22:20:29,Kenya,Kazakhstan
Coliseo La Tortuga,2020-11-28,18:42:15,Uzbekistan,Peru
Coliseo La Tortuga,2021-02-27,00:10:51,South Korea,Malaysia
Coliseo La Tortuga,2021-01-27,06:51:05,Uruguay,San Marino
Estadio Municipal de Los Ángeles,2021-01-04,07:51:43,Mali,Tajikistan
Estadio Municipal de Los Ángeles,2021-04-27,20:37:34,Azerbaijan,Moldova
Estadio Municipal de Los Ángeles,2021-04-20,21:58:46,Austria,Antigua and Barbuda
Estadio Municipal de Los Ángeles,2021-03-18,16:22:03,Saint Lucia,Kuwait
Estadio Municipal de Los Ángeles,2021-04-14,11:47:45,Dominica,Nigeria
Voždovac Stadium,2021-05-15,07:13:28,Pakistan,Lithuania
Voždovac Stadium,2021-02-24,23:17:35,Greenland,North Macedonia
Voždovac Stadium,2020-11-22,21:32:26,Bolivia,Malaysia
Voždovac Stadium,2021-02-09,11:45:36,United States of America,Saint Lucia
Voždovac Stadium,2021-03-11,00:57:42,Peru,Hungary
Sala Stadium,2020-11-27,16:24:21,Peru,Montenegro
Sala Stadium,2021-04-17,05:40:18,Republic of Abkhazia,Panama
Sala Stadium,2021-03-05,21:48:48,Fiji,New Zealand
Sala Stadium,2020-12-16,20:32:09,Latvia,Germany
Sala Stadium,2021-04-10,19:29:52,Cuba,Albania
Sala Stadium,2020-12-12,07:17:22,Guernsey,Colombia
Sala Stadium,2021-04-09,11:31:11,Chile,Curaçao
Sala Stadium,2021-05-05,22:28:12,Algeria,Cape Verde
Sala Stadium,2021-01-18,00:25:49,United Kingdom,Colombia
Sala Stadium,2021-05-04,15:21:00,United Arab Emirates,Algeria
BEC Tero Sasana Nong Chok Stadium,2021-04-07,03:04:14,Turkey,Canada
BEC Tero Sasana Nong Chok Stadium,2021-01-01,00:11:34,Bolivia,Thailand
BEC Tero Sasana Nong Chok Stadium,2021-03-30,05:30:14,Pakistan,Venezuela
BEC Tero Sasana Nong Chok Stadium,2021-05-16,14:51:36,El Salvador,Iceland
BEC Tero Sasana Nong Chok Stadium,2021-02-12,23:26:23,Lithuania,Greece
BEC Tero Sasana Nong Chok Stadium,2021-03-13,18:00:03,Guernsey,Thailand
BEC Tero Sasana Nong Chok Stadium,2021-05-15,11:06:10,Saint Lucia,Bulgaria
BEC Tero Sasana Nong Chok Stadium,2021-05-05,05:10:52,Mauritania,North Korea
BEC Tero Sasana Nong Chok Stadium,2021-02-13,15:02:26,France,Antigua and Barbuda
BEC Tero Sasana Nong Chok Stadium,2020-12-22,18:16:59,Brunei,Spain
Shaheed Salam Stadium,2021-01-10,16:08:34,Hungary,Portugal
Shaheed Salam Stadium,2021-04-29,19:48:48,Bahrain,Kazakhstan
Shaheed Salam Stadium,2020-11-23,10:49:17,Iran,Bhutan
Shaheed Salam Stadium,2021-04-11,16:22:46,Bosnia and Herzegovina,Spain
Shaheed Salam Stadium,2021-04-01,13:52:43,Israel,Serbia
Fosshaugane Campus,2021-01-07,06:06:48,Ukraine,Switzerland
Fosshaugane Campus,2021-04-28,15:12:12,Luxembourg,Bangladesh
Fosshaugane Campus,2021-02-07,11:01:29,Austria,Zimbabwe
Fosshaugane Campus,2021-02-11,11:32:18,Ivory Coast,Guyana
Fosshaugane Campus,2020-12-26,11:17:31,Bolivia,Estonia
Estadio El Toralín,2021-04-10,21:01:57,Vietnam,Nicaragua
Estadio El Toralín,2021-03-03,22:04:28,Saudi Arabia,Pakistan
Estadio El Toralín,2021-03-27,13:51:08,Venezuela,Austria
Estadio El Toralín,2020-12-22,17:23:33,Suriname,Panama
Estadio El Toralín,2021-03-17,05:29:58,Democratic Republic of the Congo,Antigua and Barbuda
Estadio El Toralín,2021-05-11,22:31:56,South Korea,Ukraine
ShoWare Center,2021-02-27,05:56:13,Australia,Pakistan
ShoWare Center,2020-12-01,01:42:43,Malaysia,Afghanistan
ShoWare Center,2021-02-05,01:13:40,State of Palestine,Canada
Stadsparksvallen,2021-02-19,19:48:14,Colombia,Uganda
Stadsparksvallen,2021-02-20,02:14:22,Nicaragua,Chile
Stadsparksvallen,2021-02-24,11:47:59,France,Fiji
Stadsparksvallen,2021-02-21,03:49:11,Belarus,Cambodia
Stadsparksvallen,2021-04-28,16:15:29,Paraguay,The Gambia
Stadsparksvallen,2021-04-11,06:49:53,Estonia,Nepal
Stadsparksvallen,2020-12-03,23:32:50,Dominican Republic,Djibouti
Stadsparksvallen,2021-05-08,07:22:35,Cuba,Faroe Islands
Stadsparksvallen,2020-12-05,18:28:28,Tunisia,Luxembourg
Zinkensdamms IP,2021-03-26,23:18:31,Singapore,Armenia
Zinkensdamms IP,2020-11-26,18:16:53,Syria,Morocco
Zinkensdamms IP,2021-02-16,08:46:19,Iraq,North Korea
Studenternas IP,2021-03-05,19:19:52,Eritrea,Luxembourg
Studenternas IP,2021-05-11,14:26:02,Uganda,Gabon
Studenternas IP,2021-02-17,20:34:22,Oman,Afghanistan
Studenternas IP,2020-12-01,11:12:45,Trinidad and Tobago,Panama
Studenternas IP,2021-03-27,11:41:52,Zimbabwe,Sri Lanka
Studenternas IP,2021-04-22,01:19:32,Nicaragua,Kosovo
Studenternas IP,2021-04-19,12:15:43,Nepal,Rwanda
Studenternas IP,2021-01-19,13:52:12,Italy,Slovakia
Studenternas IP,2021-05-17,09:03:08,Tanzania,Faroe Islands
Studenternas IP,2020-12-21,06:02:02,Antigua and Barbuda,Argentina
Stadio Enzo Blasone,2021-04-19,06:12:36,Paraguay,North Korea
Stadio Enzo Blasone,2021-01-17,17:14:34,United Arab Emirates,Zimbabwe
Stadio Enzo Blasone,2021-03-23,16:15:01,Ukraine,Turkmenistan
Stadio Enzo Blasone,2021-04-02,12:36:05,Russia,Mongolia
Stadio Enzo Blasone,2020-11-22,15:29:22,Belgium,Romania
Stadio Enzo Blasone,2021-02-12,23:23:00,Kosovo,The Gambia
Stadio Enzo Blasone,2021-02-15,09:25:43,Laos,Kuwait
Stadio Enzo Blasone,2021-01-01,11:43:05,Qatar,Guatemala
Stadio Enzo Blasone,2020-12-06,02:06:06,Slovakia,South Sudan
Stadio Giuseppe Grezar,2021-04-11,01:36:15,Nepal,Kosovo
Stadio Giuseppe Grezar,2021-02-17,02:47:01,Turkmenistan,Colombia
Stadio Giuseppe Grezar,2021-01-05,02:26:04,San Marino,Angola
Stadio Giuseppe Grezar,2021-04-13,19:59:01,Cambodia,Democratic Republic of the Congo
Diagoras Stadium,2021-03-05,22:54:14,Saint Lucia,Qatar
Diagoras Stadium,2021-01-18,03:46:59,Botswana,Costa Rica
Diagoras Stadium,2021-03-19,14:01:00,Estonia,Serbia
Diagoras Stadium,2021-01-05,04:22:08,Rwanda,Saint Kitts and Nevis
Diagoras Stadium,2021-05-01,12:08:50,Italy,Israel
Diagoras Stadium,2021-05-07,15:41:59,Austria,Ivory Coast
Diagoras Stadium,2021-03-04,06:38:38,Gabon,Saint Lucia
Fikret Karabudak Stadium,2021-04-02,12:55:28,Georgia,Nigeria
Fikret Karabudak Stadium,2021-01-09,07:38:34,Turkmenistan,Botswana
Fikret Karabudak Stadium,2021-03-10,17:35:26,Sweden,Liechtenstein
Fikret Karabudak Stadium,2021-01-16,08:09:23,Uganda,Botswana
Fikret Karabudak Stadium,2021-05-13,08:38:20,Kuwait,Japan
Fikret Karabudak Stadium,2021-05-13,17:00:45,Moldova,New Zealand
Fikret Karabudak Stadium,2021-01-05,14:01:05,Tanzania,Cyprus
Fikret Karabudak Stadium,2021-05-20,04:31:24,Turkmenistan,Malta
Fikret Karabudak Stadium,2021-01-15,14:57:45,Spain,Slovenia
Stade Lebon,2021-02-21,15:24:45,Kenya,Liberia
Stade Lebon,2020-12-21,15:30:38,The Gambia,Lebanon
Stade Lebon,2021-02-28,06:55:35,Cape Verde,Kazakhstan
Bootham Crescent,2021-03-26,04:04:24,Netherlands,Albania
Bootham Crescent,2021-04-17,11:31:52,Georgia,Austria
Bootham Crescent,2021-01-28,20:03:45,Zambia,Sweden
Bootham Crescent,2021-02-14,12:51:51,Gabon,Burkina Faso
Brewery Field,2021-01-10,15:59:59,Guernsey,The Gambia
Brewery Field,2020-12-03,01:04:58,Tunisia,Rwanda
Brewery Field,2020-12-25,06:28:18,Suriname,Malawi
Brewery Field,2020-11-29,10:45:59,Turkmenistan,Ivory Coast
Brewery Field,2020-12-10,15:33:34,Botswana,Greece
Adamslie Park,2021-02-21,09:32:50,Malaysia,South Africa
Adamslie Park,2021-01-03,20:37:21,Eritrea,Latvia
Adamslie Park,2021-04-24,21:17:16,Poland,Bosnia and Herzegovina
Aggborough,2021-01-01,02:35:24,Saint Kitts and Nevis,Zambia
Aggborough,2021-03-15,16:00:17,Cambodia,Israel
Aggborough,2021-01-22,23:20:57,Israel,Bhutan
Cheriton Road,2021-02-03,16:30:04,Bangladesh,Morocco
Cheriton Road,2020-12-07,16:41:20,Venezuela,North Macedonia
Cheriton Road,2021-01-17,03:44:38,British Virgin Islands,Suriname
Cheriton Road,2021-01-23,01:58:17,Nigeria,Egypt
Cheriton Road,2021-04-14,03:53:33,Chile,Saint Kitts and Nevis
Cheriton Road,2021-01-24,00:35:35,Malawi,South Sudan
Cheriton Road,2021-03-13,15:15:41,Finland,Nepal
Cheriton Road,2021-02-05,09:03:36,Sierra Leone,Montenegro
Crabble Athletic Ground,2021-03-18,03:18:17,Brazil,Luxembourg
Crabble Athletic Ground,2021-01-18,09:13:42,Uzbekistan,Brunei
Crabble Athletic Ground,2020-12-31,10:48:10,Lebanon,Eritrea
Crabble Athletic Ground,2021-01-17,09:01:03,Netherlands,Mali
Crabble Athletic Ground,2021-01-10,13:01:31,Ireland,Mali
Manchester Regional Arena,2021-04-17,23:30:53,Djibouti,Montenegro
Manchester Regional Arena,2021-03-05,01:00:36,Pakistan,United Arab Emirates
Manchester Regional Arena,2021-01-05,04:01:58,Bhutan,Mauritius
Manchester Regional Arena,2021-04-21,11:10:46,Netherlands,North Korea
Manchester Regional Arena,2021-02-28,13:27:01,Burkina Faso,Chile
Max-Schmeling-Halle,2021-02-02,01:02:19,Oman,Liberia
Max-Schmeling-Halle,2021-05-13,02:57:42,Argentina,Czech Republic
Max-Schmeling-Halle,2021-04-07,07:29:11,Moldova,Botswana
Max-Schmeling-Halle,2020-12-10,07:49:25,Solomon Islands,Bolivia
Neman Stadium,2021-01-04,21:26:51,Burundi,Rwanda
Neman Stadium,2020-12-13,16:25:36,Paraguay,Italy
Neman Stadium,2020-12-11,20:27:36,Ukraine,Turkmenistan
Neman Stadium,2020-12-10,00:44:41,Moldova,Qatar
Neman Stadium,2021-01-27,06:26:52,Egypt,Canada
Kolos Stadium,2020-12-26,22:47:36,Germany,Belarus
Kolos Stadium,2021-02-19,04:09:30,Ethiopia,Libya
Kolos Stadium,2020-12-01,20:48:11,Turkmenistan,Antigua and Barbuda
Kolos Stadium,2021-03-05,02:25:34,Philippines,Republic of Abkhazia
Kolos Stadium,2021-02-17,12:07:24,Solomon Islands,Cape Verde
Kolos Stadium,2021-05-14,21:46:52,Bangladesh,The Gambia
Kolos Stadium,2021-03-24,20:07:20,Ireland,Argentina
Stadionul Marin Anastasovici,2020-12-02,19:54:22,Curaçao,Malawi
Stadionul Marin Anastasovici,2021-01-13,08:10:34,Fiji,Saint Vincent and the Grenadines
Stadionul Marin Anastasovici,2020-11-26,09:23:49,Bulgaria,Sri Lanka
Stadionul Marin Anastasovici,2021-05-07,06:22:50,Djibouti,British Virgin Islands
Stadionul Marin Anastasovici,2021-03-18,22:00:34,Vietnam,Cameroon
Stadionul Marin Anastasovici,2021-01-01,09:56:48,People's Republic of China,Japan
Stadionul Marin Anastasovici,2021-04-15,23:03:33,Sierra Leone,Botswana
Stadionul Marin Anastasovici,2021-02-07,02:35:45,Chile,Bhutan
Stadion Mladost,2021-01-25,16:22:11,Honduras,Indonesia
Stadion Mladost,2021-02-14,20:24:06,Liechtenstein,Iceland
Stadion Mladost,2020-12-16,09:06:37,Lebanon,Djibouti
Stadion Mladost,2020-12-19,10:50:13,Bahrain,Bulgaria
Stadion Mladost,2021-03-12,10:35:32,Hungary,Solomon Islands
Stadion Mladost,2021-04-11,17:58:22,Brazil,Australia
Stadion ŠRC Zaprešić,2020-12-07,01:54:50,Finland,Colombia
Stadion ŠRC Zaprešić,2020-11-22,05:38:04,Faroe Islands,Rwanda
Stadion ŠRC Zaprešić,2021-02-11,21:39:43,Mauritania,Algeria
Stadion ŠRC Zaprešić,2020-11-24,00:28:09,Thailand,Tajikistan
Stadion ŠRC Zaprešić,2020-11-24,08:32:28,Papua New Guinea,Canada
Stadion ŠRC Zaprešić,2021-02-24,06:57:35,Kosovo,Laos
AEK Arena - Georgios Karapatakis,2021-01-11,05:30:48,Saint Vincent and the Grenadines,North Macedonia
AEK Arena - Georgios Karapatakis,2020-11-25,08:37:31,Lebanon,Brazil
AEK Arena - Georgios Karapatakis,2021-04-10,08:56:50,Switzerland,People's Republic of China
AEK Arena - Georgios Karapatakis,2021-01-08,18:03:04,Egypt,Faroe Islands
AEK Arena - Georgios Karapatakis,2021-05-20,05:25:26,Vietnam,Lithuania
AEK Arena - Georgios Karapatakis,2020-12-17,20:28:49,United Arab Emirates,South Sudan
Kostanay Central Stadium,2021-04-05,02:37:40,Rwanda,South Sudan
Kostanay Central Stadium,2021-04-26,08:26:22,Lebanon,Dominican Republic
Kostanay Central Stadium,2021-05-10,21:00:16,State of Palestine,The Gambia
Kostanay Central Stadium,2021-03-01,06:03:31,Grenada,Laos
Kostanay Central Stadium,2021-05-10,15:18:41,Qatar,Guyana
Kostanay Central Stadium,2020-12-17,09:38:52,Lebanon,Kyrgyzstan
Estadio Municipal Roberto Bravo Santibáñez,2021-02-15,12:40:18,Turkey,Iraq
Estadio Municipal Roberto Bravo Santibáñez,2021-04-30,11:14:10,Mauritius,France
Estadio Municipal Roberto Bravo Santibáñez,2021-03-29,14:15:56,Fiji,Serbia
Estadio Municipal Roberto Bravo Santibáñez,2020-12-17,15:01:26,Solomon Islands,Venezuela
Estadio Municipal Roberto Bravo Santibáñez,2021-04-10,07:30:56,Antigua and Barbuda,Somalia
George Odlum Stadium,2021-05-11,20:10:10,Guyana,Venezuela
George Odlum Stadium,2021-01-09,17:51:20,Egypt,Canada
